id,title,year,venue,status,category,primary_url,code_url,code_status,datasets,metrics,key_idea,reported_result,caveats,priority
balle2017_e2e,End-to-End Optimized Image Compression,2017,ICLR,peer_reviewed,general_lic,https://openreview.net/forum?id=rJxdQ3jeg,https://github.com/tensorflow/compression,reference_framework,Kodak; ImageNet-derived training,PSNR; MS-SSIM; rate,Nonlinear transform coding with GDN and differentiable quantization surrogate.,Foundational end-to-end learned transform codec.,Historical baseline; implementation details and entropy coder differ from modern frameworks.,P1
balle2018_hyperprior,Variational Image Compression with a Scale Hyperprior,2018,ICLR,peer_reviewed,entropy_modeling,https://openreview.net/forum?id=rkcQFMZRb,https://github.com/tensorflow/compression,reference_framework,Kodak; ImageNet-derived training,PSNR; MS-SSIM; rate,Side-information hyperprior predicts spatially varying latent scales.,Established hyperprior as a standard LIC component.,Compare actual bitstreams and color preprocessing carefully.,P0
minnen2018_joint,Joint Autoregressive and Hierarchical Priors for Learned Image Compression,2018,NeurIPS,peer_reviewed,entropy_modeling,https://arxiv.org/abs/1809.02736,https://github.com/tensorflow/compression,reference_framework,Kodak; web image training corpus,PSNR; MS-SSIM; rate,Combines hyperprior and autoregressive spatial context.,Improved entropy estimates over either prior alone.,Sequential decoding cost is central.,P0
cheng2020_gmm,Learned Image Compression with Discretized Gaussian Mixture Likelihoods and Attention Modules,2020,CVPR,peer_reviewed,general_lic,https://openaccess.thecvf.com/content_CVPR_2020/html/Cheng_Learned_Image_Compression_With_Discretized_Gaussian_Mixture_Likelihoods_and_Attention_CVPR_2020_paper.html,https://github.com/InterDigitalInc/CompressAI,framework_reimplementation,Kodak,PSNR; MS-SSIM; bpp,Gaussian-mixture entropy model and attention-enhanced transforms.,Widely used strong convolutional baseline.,CompressAI implementation may not be byte-identical to author code.,P1
he2022_elic,ELIC: Efficient Learned Image Compression with Unevenly Grouped Space-Channel Contextual Adaptive Coding,2022,CVPR,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2203.10886,https://github.com/VincentChandelier/ELiC-ReImplemetation,third_party_reimplementation,ImageNet; Kodak; CLIC; Tecnick,PSNR; MS-SSIM; bpp; runtime,Uneven channel groups and space-channel context for efficiency and progressive decoding.,Strong speed/RD trade-off and common baseline.,Frequently used code is a reimplementation; label accordingly.,P1
zou2022_wacnn,The Devil Is in the Details: Window-based Attention for Image Compression,2022,CVPR,peer_reviewed,transformer_lic,https://openaccess.thecvf.com/content/CVPR2022/html/Zou_The_Devil_Is_in_the_Details_Window-Based_Attention_for_Image_CVPR_2022_paper.html,,verify,Kodak; Tecnick; CLIC,PSNR; MS-SSIM; bpp,Window attention and entropy modeling tailored to LIC.,Representative early Transformer LIC.,Official implementation availability must be rechecked before use.,P2
liu2023_lictcm,Learned Image Compression with Mixed Transformer-CNN Architectures,2023,CVPR,peer_reviewed,transformer_lic,https://arxiv.org/abs/2303.14978,https://github.com/jmliu206/LIC_TCM,official,Kodak; Tecnick; CLIC Pro,PSNR; MS-SSIM; bpp; complexity,Parallel Transformer-CNN mixture blocks and channel-wise entropy model.,Strong hybrid backbone baseline.,Check training corpus and exact VTM reference.,P1
jiang2023_mlic,MLIC: Multi-Reference Entropy Model for Learned Image Compression,2023,ACM Multimedia,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2211.07273,https://github.com/JiangWeibeta/MLIC,official,DIV2K; Flickr2K; CLIC; COCO; ImageNet; Kodak; Tecnick,PSNR; MS-SSIM; BD-rate,"Joint channel, local spatial and global references.",Author reports Kodak BD-rate -8.05% for MLIC and -11.39% for MLIC+ vs VTM-17.0.,Use exact model generation and actual stream path.,P0
jiang2025_mlicpp,MLIC++: Linear Complexity Multi-Reference Entropy Modeling for Learned Image Compression,2025,ACM TOMM,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2307.15421,https://github.com/JiangWeibeta/MLIC,official,MLIC-Train-100K; Kodak; Tecnick; CLIC Pro,PSNR; MS-SSIM; BD-rate; complexity,Linear-complexity local/global multi-reference entropy model.,Author reports Kodak/Tecnick/CLIC Pro BD-rate -13.39/-17.59/-13.08% vs VTM-17.0.,Repository notes architecture/checkpoint corrections; pin commit and model class.,P0
li2024_ftic,Frequency-aware Transformer for Learned Image Compression,2024,ICLR,peer_reviewed,transformer_lic,https://openreview.net/,https://github.com/qingshi9974/ICLR2024-FTIC,official,OpenImages or author training corpus; Kodak; Tecnick; CLIC,PSNR; MS-SSIM; BD-rate,Frequency-decomposition window attention and frequency modulation.,Author reports double-digit BD-rate gains over VTM on standard sets.,Verify exact paper URL and training corpus from pinned README/paper before citation.,P1
lu2025_dcae,Learned Image Compression with Dictionary-based Entropy Model,2025,CVPR,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2504.00496,https://github.com/CVL-UESTC/DCAE,official,OpenImages; Kodak; CLIC; TESTIMAGES,PSNR; MS-SSIM; bpp; latency,Learnable external dictionary supplies training-set priors to cross-attention entropy model.,Reported state-of-the-art rate/latency balance.,README does not fully pin dependency versions; create local lock.,P0
feng2025_lalic,Linear Attention Modeling for Learned Image Compression,2025,CVPR,peer_reviewed,transformer_lic,https://arxiv.org/abs/2502.05741,https://github.com/sjtu-medialab/RwkvCompress,official,Kodak; Tecnick; CLIC Pro,PSNR; MS-SSIM; BD-rate; memory,Bi-RWKV transform and RWKV spatial-channel context.,Author reports approximately -15% to -17% BD-rate vs VTM-9.1 depending on set/version.,CUDA operator compatibility is a practical risk; pinned snapshot removed hard T_MAX.,P1
zeng2025_mambaic,MambaIC: State Space Models for High-Performance Learned Image Compression,2025,CVPR,peer_reviewed,transformer_lic,https://arxiv.org/abs/2503.12461,https://github.com/AuroraZengfh/MambaIC,author_reimplementation,Flickr30k training; Kodak; Tecnick; CLIC,PSNR; MS-SSIM; bpp; complexity,State-space transform/context with local attention.,High-resolution efficiency focus.,Repository explicitly says it is not exact original code; training data differs from some competitors.,P2
jiang2025_mlicv2,MLICv2: Enhanced Multi-Reference Entropy Modeling for Learned Image Compression,2025,ACM TOMM,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2504.19119,https://github.com/JiangWeibeta/MLIC,paper_same_family_repo,Kodak; Tecnick; CLIC Pro,PSNR; BD-rate,"Token mixing, hyperprior-guided global correlation, channel reweighting and instance adaptation.",Author reports MLICv2+ BD-rate around -20.46/-24.35/-19.14% vs VTM-17.0.,Confirm whether complete MLICv2 training/evaluation code is present in the selected snapshot.,P1
chen2026_glic,Adaptive Learned Image Compression with Graph Neural Networks,2026,CVPR,peer_reviewed,general_lic,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_Adaptive_Learned_Image_Compression_with_Graph_Neural_Networks_CVPR_2026_paper.html,https://github.com/UnoC-727/GLIC,announced_verify_release,Kodak; Tecnick; CLIC,PSNR; BD-rate,Dual-scale content-adaptive graph and variable neighbor count.,Author reports -19.29/-21.69/-18.71% BD-rate vs VTM-9.1.,Code was announced; verify completeness/checkpoints at use time.,P1
xiong2026_hide,HiDE: Hierarchical Dictionary-Based Entropy Modeling for Learned Image Compression,2026,arXiv,preprint,entropy_modeling,https://arxiv.org/abs/2603.06766,,not_confirmed,Kodak; CLIC; Tecnick,PSNR; BD-rate,Hierarchical global/local dictionaries and multi-receptive-field parameter estimation.,Preprint reports -18.50/-21.99/-24.01% BD-rate vs VTM-12.1.,Not peer-reviewed at snapshot; code unconfirmed.,P2
kim2026_block,Block-based Learned Image Compression without Blocking Artifacts,2026,CVPR,peer_reviewed,practical_lic,https://openaccess.thecvf.com/content/CVPR2026/html/Kim_Block-based_Learned_Image_Compression_without_Blocking_Artifacts_CVPR_2026_paper.html,,verify,4K test images; four CNN LIC models,RD equivalence; peak memory; peak compute,Analytically derive minimum overlap for artifact-free tiled inference without retraining.,Reports average peak memory reduced to 13.94% encoder and 13.33% decoder of full-image processing.,Primarily CNN-based; applicability to global attention/SSM must be tested.,P2
tatwawadi2026_practical,What Matters in Practical Learned Image Compression,2026,CVPR,peer_reviewed,practical_lic,https://openaccess.thecvf.com/content/CVPR2026/html/Tatwawadi_What_Matters_in_Practical_Learned_Image_Compression_CVPR_2026_paper.html,,not_confirmed,subjective study datasets; mobile tests,human preference; bitrate savings; mobile latency,Joint perceptual/runtime design and performance-aware NAS.,Reports 2.3–3x bitrate savings in subjective tests and 230/150 ms 12MP encode/decode on iPhone 17 Pro Max.,Subjective protocol and implementation access are essential for reproduction.,P2
blau2019_rdp,Rethinking Lossy Compression: The Rate-Distortion-Perception Tradeoff,2019,ICML,peer_reviewed,rate_perception,https://proceedings.mlr.press/v97/blau19a.html,,theory,theoretical and image experiments,rate; distortion; perception divergence,Formalizes incompatibility between perfect perception and minimal distortion at fixed rate.,Theoretical basis for perceptual compression evaluation.,Distributional realism does not guarantee instance-level text correctness.,P0
mentzer2020_hific,High-Fidelity Generative Image Compression,2020,NeurIPS,peer_reviewed,generative_compression,https://arxiv.org/abs/2006.09965,https://github.com/tensorflow/compression/tree/master/models/hific,reference_or_related,OpenImages; Kodak; CLIC,FID; LPIPS; PSNR; user study; bpp,Adversarial perceptual decoder with explicit rate control.,Canonical GAN-based high-fidelity compression.,GAN texture can alter text and exact symbols.,P1
agustsson2023_mric,Multi-Realism Image Compression with a Conditional Generator,2023,CVPR,peer_reviewed,generative_compression,https://openaccess.thecvf.com/content/CVPR2023/html/Agustsson_Multi-Realism_Image_Compression_With_a_Conditional_Generator_CVPR_2023_paper.html,,verify,natural image benchmarks,rate; distortion; perceptual metrics; realism control,Single representation supports adjustable realism at decoder.,Demonstrates a continuum between distortion and realism without new bitstream.,Decoder control may change text semantics.,P2
yang2023_cdc,Lossy Image Compression with Conditional Diffusion Models,2023,NeurIPS,peer_reviewed,generative_compression,https://arxiv.org/abs/2209.06950,https://github.com/buggyyang/CDC_compression,official,multiple natural image datasets,FID; distortion metrics; bpp; steps,Separate transmitted content latent from generated texture variables.,Strong perceptual quality with few-step conditional diffusion variants.,Sampling latency and stochastic semantic changes.,P1
careil2024_perco,Towards Image Compression with Perfect Realism at Ultra-Low Bitrates,2024,ICLR,peer_reviewed,ultralow_generative,https://openreview.net/forum?id=ktdETU9JBg,,original_closed_or_unreleased,Kodak; natural image sets,FID; KID; bpp; distortion,VQ local representation plus global image description conditions a diffusion prior.,Targets rates down to about 0.003 bpp.,Original foundation model/code not fully open; not suitable as sole reproducibility baseline.,P1
koerber2024_percosd,PerCo (SD): Open Perceptual Compression,2024,arXiv,preprint,ultralow_generative,https://arxiv.org/abs/2409.20255,https://github.com/Nikolai10/PerCo,announced_or_open_verify,MSCOCO-30k,FID; LPIPS; distortion; bpp,Open Stable Diffusion implementation of PerCo-style compression.,Open competitive alternative with fidelity/perception tradeoff.,Verify current weight release and exact license.,P2
jia2024_glc,Generative Latent Coding for Ultra-Low Bitrate Image Compression,2024,CVPR,peer_reviewed,vq_compression,https://openaccess.thecvf.com/content/CVPR2024/html/Jia_Generative_Latent_Coding_for_Ultra-Low_Bitrate_Image_Compression_CVPR_2024_paper.html,,verify,CLIC2020; natural images; faces,FID; LPIPS; DISTS; bpp,"VQ-VAE latent, categorical hyperprior and code prediction supervision.",Reports comparable FID to MS-ILLM with materially fewer bits on CLIC2020.,Perceptual distribution metrics cannot substitute OCR correctness.,P1
xu2025_picd,PICD: Versatile Perceptual Image Compression with Diffusion Rendering,2025,CVPR,peer_reviewed,text_generative_compression,https://openaccess.thecvf.com/content/CVPR2025/html/Xu_PICD_Versatile_Perceptual_Image_Compression_with_Diffusion_Rendering_CVPR_2025_paper.html,,not_confirmed,WebUI training; SCI1K; SIQAD; natural image sets,text Jaccard/accuracy; FID; LPIPS; DISTS; bpp; runtime,"Separately encode text and image, then diffusion-render screen content.",Strong text and perceptual quality for screen images.,"Text/position side-channel, OCR failure dependency, privacy and slow diffusion must be fully accounted.",P0
jiang2026_rdvq,Differentiable Vector Quantization for Rate-Distortion Optimization of Generative Image Compression,2026,CVPR,peer_reviewed,vq_compression,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_Differentiable_Vector_Quantization_for_Rate-Distortion_Optimization_of_Generative_Image_Compression_CVPR_2026_paper.html,https://github.com/CVL-UESTC/RDVQ,official,DIV2K validation and perceptual benchmarks,DISTS; LPIPS; bitrate; parameters,Differentiable codebook-distribution relaxation enables entropy-constrained VQ and test-time rate control.,Reports up to 75.71% bitrate reduction at matched DISTS and 37.63% at matched LPIPS vs RDEIC on DIV2K-val.,Repository license and third-party tokenizer assets require review.,P1
jia2026_cod,CoD: A Diffusion Foundation Model for Image Compression,2026,CVPR,peer_reviewed,generative_compression,https://openaccess.thecvf.com/content/CVPR2026/html/Jia_CoD_A_Diffusion_Foundation_Model_for_Image_Compression_CVPR_2026_paper.html,https://github.com/microsoft/GenCodec/tree/main/CoD,official,open image-only datasets; ultra-low-rate benchmarks,FID; LPIPS; DISTS; PSNR; bpp; training cost,Compression-oriented diffusion foundation model trained from scratch rather than adapting text-to-image models.,Reports particularly strong results near 0.0039 bpp and much lower training cost than Stable Diffusion pretraining.,Large decoder and generative semantic fidelity remain concerns for text.,P1
sheng2026_cadc,CADC: Content Adaptive Diffusion-Based Generative Image Compression,2026,CVPR,peer_reviewed,generative_compression,https://openaccess.thecvf.com/content/CVPR2026/html/Sheng_CADC_Content_Adaptive_Diffusion-Based_Generative_Image_Compression_CVPR_2026_paper.html,,verify,ultra-low-rate natural image benchmarks,perceptual metrics; bpp,"Uncertainty-guided adaptive quantization, auxiliary information concentration and bitrate-free textual conditioning from reconstruction.",Reports state-of-the-art perceptual quality at ultra-low rates.,"""Bitrate-free"" conditioning is decoder-derived but its computation and possible semantic bias still matter.",P2
zhang2026_aeic,Ultra-Low Bitrate Perceptual Image Compression with Shallow Encoder,2026,CVPR,peer_reviewed,generative_compression,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Ultra-Low_Bitrate_Perceptual_Image_Compression_with_Shallow_Encoder_CVPR_2026_paper.html,https://github.com/LuizScarlet/AEIC,official,ultra-low-rate benchmarks; 1080p runtime tests,RDP; FPS; bpp,Asymmetric shallow encoder with one-step diffusion decoder and dual-side distillation.,Reports 35.8 FPS encoding for 1080p images.,Evaluate exact sequence fidelity before using for text.,P1
sargent2026_vlic,VLIC: Vision-Language Models as Perceptual Judges for Human-Aligned Image Compression,2026,CVPR,peer_reviewed,rate_perception,https://openaccess.thecvf.com/content/CVPR2026/html/Sargent_VLIC_Vision-Language_Models_As_Perceptual_Judges_for_Human-Aligned_Image_Compression_CVPR_2026_paper.html,,verify,human 2AFC and image compression sets,2AFC agreement; user study; perceptual metrics,Post-train diffusion codec with zero-shot VLM binary judgments.,Reports competitive human-aligned performance.,VLM judge bias and inability to enforce exact text semantics.,P2
kawawa2022_recognition,Recognition-Aware Learned Image Compression,2022,arXiv,preprint,icm,https://arxiv.org/abs/2202.00198,,not_confirmed,classification datasets,classification accuracy; bpp; distortion,Joint rate-distortion and recognition objective.,Reports large low-rate classification gains over traditional codecs in its setup.,Task-specific and classification-centric.,P2
chen2023_transtic,TransTIC: Transferring Transformer-based Image Compression from Human Perception to Machine Perception,2023,ICCV,peer_reviewed,icm,https://openaccess.thecvf.com/content/ICCV2023/html/Chen_TransTIC_Transferring_Transformer-based_Image_Compression_from_Human_Perception_to_Machine_ICCV_2023_paper.html,,verify,multiple machine vision tasks,task accuracy; bpp; reconstruction,Instance-specific encoder prompts and task-specific decoder prompts adapt a frozen Transformer codec.,Strong transfer without full codec fine-tuning.,Prompt/side information rate and task-model dependence require care.,P1
liu2024_rdc,Rate-Distortion-Cognition Controllable Versatile Neural Image Compression,2024,ECCV,peer_reviewed,icm,https://arxiv.org/abs/2407.11700,,paper_reports_public_verify,classification; detection; segmentation benchmarks,rate; distortion; task accuracy,"Single model controls rate, reconstruction distortion and cognition with scalable residual branch.",Flexible Pareto control across machine tasks.,OCR sequence integrity is not explicitly modeled.,P1
park2025_ttft,Test-Time Fine-Tuning of Image Compression Models for Multi-Task Adaptability,2025,CVPR,peer_reviewed,icm,https://openaccess.thecvf.com/content/CVPR2025/html/Park_Test-Time_Fine-Tuning_of_Image_Compression_Models_for_Multi-Task_Adaptability_CVPR_2025_paper.html,,not_confirmed,closed/open-set machine tasks,task performance; bpp; side overhead,Instance-specific SVD-LoRA adaptation with singular-value side information.,Improves adaptability to unseen machine tasks.,Test-time compute and adapter bitrate must be counted.,P2
bridging2025_mllm,Bridging Compressed Image Latents and Multimodal Large Language Models,2025,ICLR,peer_reviewed,icm,https://github.com/NYCU-MAPL/BridgingCompressionMLLM,https://github.com/NYCU-MAPL/BridgingCompressionMLLM,official,MLLM understanding benchmarks,MLLM task scores; bpp; reconstruction,Lightweight transform neck and surrogate visual-encoder loss connect codec latents to MLLMs.,Avoids full MLLM in codec training loop.,Paper URL and exact model versions should be recorded from repo before citation.,P1
dicm2025,Deep Image Coding for Machines with Semantic-Guided Self-Supervision,2025,verify,publication_status_verify,icm,https://github.com/Tongji-MIC-Lab/DICM,https://github.com/Tongji-MIC-Lab/DICM,official_or_author,classification; detection and related tasks,task performance; bpp,Compressed-domain multi-task representation with semantic-guided self-supervision.,Designed for machine consumption without full RGB reconstruction.,Verify definitive title/venue from the pinned repository.,P2
xu2026_tfgc,Towards Unified Human Perception and Machine Understanding: Token Flow Guided Compression Framework,2026,CVPR,peer_reviewed,icm,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Towards_Unified_Human_Perception_and_Machine_Understanding_Token_Flow_Guided_CVPR_2026_paper.html,,not_confirmed,LVLM understanding and reconstruction benchmarks,LVLM task scores; perceptual quality; bpp,"Variable-length 1D visual tokens, token-flow propagation and direct LVLM consumption.",Reports strong LVLM understanding at comparable rates.,OCR exact-sequence preservation remains a distinct requirement.,P1
jpegai2025,JPEG AI — ISO/IEC 6048-1:2025 / ITU-T T.840.1 Core Coding System,2025,International Standard,standard,standard_icm,https://jpeg.org/jpegai/,https://gitlab.com/wg1/jpeg-ai/jpeg-ai-reference-software,reference_software,JPEG AI evaluation datasets,subjective quality; objective metrics; machine tasks; conformance,"First end-to-end learning-based international image coding standard; compact single stream, progressive, ROI and machine-consumption scope.",Official overview reports about 30% rate reduction at equal subjective quality relative to conventional standards.,"Reference software, profile and conformance version must be pinned; standards/patent terms differ from code license.",P0
uchigasaki2023_stiqa,Deep Image Compression Using Scene Text Quality Assessment,2023,Pattern Recognition,peer_reviewed,ocr_aware,https://arxiv.org/abs/2305.11373,,not_confirmed,scene text quality and compression datasets,quality prediction MAE/correlation; subjective/objective text quality,Scene-text image quality assessor guides iterative variable-rate compression.,Reports better text quality and quality-assessment accuracy than compared regressors.,"Iterative, assessor and codec are not a unified end-to-end utility allocation system.",P1
lai2024_textquality,Learned Image Compression with Text Quality Enhancement,2024,ICIP,peer_reviewed,ocr_aware,https://arxiv.org/abs/2402.08643,,official_code_not_found,two screenshot datasets,CER; WER; BD-rate; image quality,Text logit loss aligns OCR outputs between original and reconstruction.,Reports average BD-rate -32.64% at fixed CER and -28.03% at fixed WER.,"Single OCR dependence, screenshot focus and cross-OCR transfer need evaluation.",P0
dellafiore2025_tfic,TFIC: End-to-End Text-Focused Image Compression for Coding for Machines,2025,arXiv,preprint,ocr_aware,https://arxiv.org/abs/2503.19495,,official_code_not_found,approximately 20k synthetic train and small synthetic test reported,OCR accuracy; bpp; encoder time,Frozen OCR supplies sequence supervision to a Transformer codec.,Reports very large OCR gains in selected very-low-rate settings and encoder faster than OCR.,"Small synthetic evaluation, single OCR and no strong cross-OCR evidence.",P0
malice2022,MALICE: Manipulation Attacks on Learned Image Compression,2022,arXiv,preprint_or_venue_verify,robustness_security,https://arxiv.org/abs/2205.13253,,verify,multiple LIC models and image sets,bitrate inflation; distortion; attack success,Adversarial inputs induce bitrate or reconstruction failures.,Reports severe white-box and measurable black-box bitrate amplification.,Threat model and codec versions must be matched.,P1
backdoor2023,Backdoor Attacks Against Deep Image Compression via Adaptive Frequency Trigger,2023,CVPR,peer_reviewed,robustness_security,https://openaccess.thecvf.com/content/CVPR2023/,,verify,LIC benchmark datasets,clean RD; triggered failure; stealth,Frequency-adaptive trigger preserves clean performance while activating compression failure.,Demonstrates supply-chain/backdoor risk in learned codecs.,Locate exact CVF paper URL before formal citation.,P2
srda2024,Adversarial Attacks on Learned Image Compression: Rate-Distortion Vulnerability Analysis,2024,arXiv,preprint,robustness_security,https://arxiv.org/abs/2405.07717,,verify,multiple LIC models,rate attack; distortion attack; transferability,Separates rate and distortion attacks and diagnoses hyperprior/IGDN vulnerabilities.,Shows broad vulnerability across architectures.,"Use actual bitstream rate, not likelihood only, when reproducing.",P1
clicc2024,Towards Robust Learned Image Compression: Benchmarking Common Corruptions,2024,OpenReview,publication_status_verify,robustness_security,https://openreview.net/forum?id=FxRfAIj4s2,,verify,CLIC-C; Kodak-C,RD under 15 corruptions; frequency diagnostics,Corruption benchmark for LIC robustness.,Provides standardized corruption evaluation.,Confirm final publication status/version.,P1
robustnic,Robust Neural Image Compression,2023,verify,publication_status_verify,robustness_security,https://github.com/tongxyh/ImageCompression_Adversarial,https://github.com/tongxyh/ImageCompression_Adversarial,author_code,LIC adversarial benchmarks,clean RD; adversarial RD,Adversarial training/robustification for neural image compression.,Public implementation useful as defense baseline.,Verify exact paper metadata from repository.,P1
collision2025,Bitstream Collision Attacks on Learned Image Compression,2025,arXiv,preprint,robustness_security,https://arxiv.org/abs/2503.19817,,not_confirmed,LIC models,collision success; perceptual/semantic divergence,Construct semantically distinct inputs that map to the same or colliding bitstream representation.,Raises authenticity and semantic-integrity concerns.,Preprint; inspect exact threat constraints.,P2
xing2021_invisp,Invertible Image Signal Processing,2021,CVPR,peer_reviewed,raw_isp,https://openaccess.thecvf.com/content/CVPR2021/html/Xing_Invertible_Image_Signal_Processing_CVPR_2021_paper.html,,verify,paired RAW-RGB camera datasets,RAW reconstruction; RGB quality; JPEG robustness,Invertible RAW↔sRGB ISP with differentiable JPEG simulation.,Supports RAW recovery from rendered/compressed RGB.,Not a pure learned bitstream codec; camera-specific data matter.,P2
rawtobit2022,RAWtoBit: A Fully End-to-End Camera ISP and Image Compression Framework,2022,ECCV,peer_reviewed,raw_isp,https://arxiv.org/abs/2208.07639,,not_confirmed,RAW-RGB datasets,RGB quality; bpp; ISP quality,Jointly optimize RAW-to-RGB ISP and compression with dual-teacher distillation.,Improves over separately optimized ISP and codec pipelines.,Sensor generalization and data pairing are major limitations.,P1
wang2023_rawmetadata,Raw Image Reconstruction with Learned Compact Metadata,2023,CVPR,peer_reviewed,raw_isp,https://openaccess.thecvf.com/content/CVPR2023/html/Wang_Raw_Image_Reconstruction_With_Learned_Compact_Metadata_CVPR_2023_paper.html,,verify,RAW-RGB datasets,RAW reconstruction; metadata rate; RGB quality,Transmit compact learned metadata alongside sRGB for RAW recovery.,Scalable representation for display RGB and recoverable RAW.,All metadata rate must be included.,P1
rhovision2024,ρ-Vision: Direct RAW Image Compression and Computer Vision,2024,IEEE TPAMI,peer_reviewed,raw_icm,https://github.com/NJUVISION/rho-vision,https://github.com/NJUVISION/rho-vision,official,MultiRAW and cross-camera sets,compression; detection; cross-sensor generalization,Direct RAW compression and machine vision with unpaired RAW simulation.,Includes MultiRAW dataset and code.,License and camera-data terms must be checked.,P1
kim2024_paramisp,ParamISP: Learned Forward and Inverse ISPs using Camera Parameters,2024,CVPR,peer_reviewed,raw_isp,https://openaccess.thecvf.com/content/CVPR2024/html/Kim_ParamISP_Learned_Forward_and_Inverse_ISPs_using_Camera_Parameters_CVPR_2024_paper.html,,verify,multi-camera RAW-RGB,forward/inverse ISP quality,"Condition ISP on ISO, exposure, aperture and focal parameters.",Improves sensor/capture adaptation.,Metadata availability and normalization vary by camera.,P2
zhang2024_codisp,CoDISP: Exploring Compressed-Domain Camera ISP with RGB-Guided Encoder,2024,CVPR Workshop,peer_reviewed_workshop,raw_isp,https://openaccess.thecvf.com/content/CVPR2024W/MAI/html/Zhang_CoDISP_Exploring_Compressed_Domain_Camera_ISP_with_RGB-guided_Encoder_CVPRW_2024_paper.html,,verify,RAW/RGB ISP tasks,ISP task quality; memory; compression,Perform ISP operations in compressed domain with shared latent.,Targets mobile memory and integrated ISP processing.,Workshop result; evaluate against current full pipelines.,P2
jiang2023_tgic,Multi-Modality Deep Network for Extreme Learned Image Compression,2023,AAAI,peer_reviewed,semantic_text_guided_compression,https://arxiv.org/abs/2304.13583,,not_confirmed,captioned image datasets; verify exact splits from paper,LPIPS; FID; KID; PSNR; MS-SSIM; user study; total bitrate,"Inject transmitted text semantics into encoder, entropy model and decoder through cross-modal attention/complement modules and semantic-consistency loss.",Author reports comparable or better perceptual results than prior methods operating at roughly 2x–4x the bitrate.,"Caption side information changes the coding problem; count compressed text and all metadata, and do not treat semantic plausibility as OCR preservation.",P1
lee2024_taco,Neural Image Compression with Text-guided Encoding for both Pixel-level and Perceptual Fidelity,2024,arXiv,preprint,semantic_text_guided_compression,https://arxiv.org/abs/2403.02944,,not_confirmed,MS-COCO 30k and additional paper datasets; verify exact splits,PSNR; MS-SSIM; LPIPS; bitrate,Use text-adaptive image encoding and joint image-text training while avoiding a text-conditioned generative decoder.,Author reports the best LPIPS among compared baselines while retaining competitive pixel fidelity.,Human/machine captions may be side information; reproduce with full caption-rate accounting and exact caption-generation policy.,P1
murai2024_lmm_textcoding,LMM-driven Semantic Image-Text Coding for Ultra Low-bitrate Learned Image Compression,2024,IEEE VCIP,peer_reviewed_poster,semantic_text_guided_compression,https://arxiv.org/abs/2411.13033,https://github.com/tokkiwa/ImageTextCoding,official,Kodak and paper-specific low-rate evaluation sets; verify exact split,LPIPS; LPIPS BD-rate; PSNR; MS-SSIM; bitrate,Generate and compress captions inside an LMM-assisted image-text coding pipeline and fine-tune an LIC network with semantic-perceptual objectives.,Author reports 41.58% LPIPS BD-rate improvement over compared methods.,"Depends on LMM, caption coder and restoration model; pin every weight and count caption bytes, prompts and container overhead.",P1
fu2025_selic,SELIC: Semantic-Enhanced Learned Image Compression via High-Level Textual Guidance,2025,IEEE ICME,peer_reviewed,semantic_text_guided_compression,https://arxiv.org/abs/2504.01279,,not_confirmed,CLIC; LIU4K; Kodak; Tecnick,PSNR; MS-SSIM; BD-rate; encode/decode time; parameters,Use frozen BLIP and BERT branches to derive semantic features and fuse them with image latents before quantization and entropy coding.,Author reports about 0.1–0.15 dB gain over its non-semantic baseline and -4.9% BD-rate versus VVC on Kodak.,Encoder invokes image-to-text/text encoders; verify whether all semantic influence is represented in the serialized latent and reproduce timing/rate under a matched codec protocol.,P1
